Date-Time,Title,Description
"December 18, 2023 06:27 PM IST",DreamFolks launches card-based membership programme for travellers,"With the new program, people will be able to access airport lounges without having a credit or debit card, DreamFolks said"
"December 18, 2023 06:23 PM IST",India-UK FTA’s fourteenth round of negotiations to be held in Jan 2024,"Indian businesses are demanding greater access to the UK market for its qualified workers from areas such as IT and healthcare, as well as market access for a variety of commodities at zero customs duties"
"December 18, 2023 06:12 PM IST","NHAI awards projects worth Rs 9,384 crore after three-month delay",All projects awarded by the NHAI have been clubbed into two categories called Bundle 13 and Bundle 14 and were expected to be awarded in September 2023.
"December 18, 2023 06:11 PM IST",Govt to launch ninth round of coal mines auction on Dec 20: Coal Ministry,"Of the 26 coal mines to be launched for auctions, 12 are in Madhya Pradesh, eight in Chhattisgarh, five in Jharkhand, and one in Telangana"
"December 18, 2023 06:29 PM IST",Executives more likely to feel safe taking risks than individual contributors: Survey,"Psychological safety refers to an environment where individuals can freely express ideas, voice concerns, take risks and admit mistakes without fear of repercussions"
"December 18, 2023 06:10 PM IST",Budget 2024: Millets likely to be in focus; here's what PM Modi has been saying on 'Shree Anna' throughout the year,"Prime Minister Modi had, in March this year, exhorted farm scientists to work towards increasing the share of nutri-cereals in the national food basket which then stood at around 5-6 percent."
"December 18, 2023 08:19 PM IST","Why invest in Bajaj Finserv Balanced Advantage Fund; scheme reopens on December 18, 2023.",
"December 18, 2023 04:44 PM IST",Difficult to estimate quantum of disinvestment proceeds in FY24: FinMin,"The Budget Estimate for disinvestment receipts in 2023-24 has been kept at Rs 51,000 crore"
"December 18, 2023 04:51 PM IST",Coffee brewers increase level of chicory blending in bid to curb price rise,"Chicory prices, too, have gone up in India on higher demand and a crop shortfall this year."
"December 18, 2023 04:33 PM IST","BAT stake sale unlikely to have any long-term impact on ITC, say analysts","The stake sale might be a bid by British American Tobacco to reduce its debt levels, while also meeting India’s stringent rules for foreign ownership in tobacco companies."
"December 18, 2023 04:28 PM IST",Take Five: A golden 'everything' rally,"Here's your week ahead in markets from Lewis Krauskopf in New York, Kevin Buckland in Tokyo, Naomi Rovnick, Marc Jones and Amanda Cooper in London."
